"ROADID","Dir","i","j","AUTO","SUT","MUT","SPEED","LENGTH","num_lanes","FCLASS","zone","County","waterf","noisef"
931,1,33853,28467,544.023855,0.000000,197.056379,29.999864,0.157322,1,81,180365,DAVIESS,1,1
997,1,39384,39486,352.347910,0.000000,333.570676,29.999773,0.091426,1,81,180531,GREENE,1,1
998,1,39486,39466,352.347910,0.000000,333.570676,29.999773,0.093500,1,81,180531,GREENE,1,1
1187,1,35531,35535,287.278092,0.000000,6.225566,30.000000,0.154873,1,81,181422,PERRY,1,1
1188,1,35535,35417,287.278092,0.000000,6.225566,30.000000,0.147571,1,81,181422,PERRY,1,1
1189,1,35624,35638,905.402379,0.000000,66.646994,29.999834,0.151044,1,81,181450,PERRY,1,1
1190,1,35638,35404,905.402379,0.000000,66.646994,29.999835,0.151372,1,81,181450,PERRY,1,1
1191,1,32583,33268,1594.368614,0.000000,160.644322,29.998016,0.132939,1,81,180944,PIKE,1,1
1192,1,33268,33221,1594.368614,0.000000,160.644322,29.998016,0.129980,1,81,180944,PIKE,1,1
1227,1,34770,34735,5950.651197,0.000000,1548.992879,71.942326,0.716581,2,1,181402,SPENCER,1,1
1228,1,34735,34736,5950.651197,0.000000,1548.992879,71.942318,0.717521,2,1,181402,SPENCER,1,1
1229,1,34804,34846,1620.953100,0.000000,179.787442,55.999882,0.076710,2,3,181404,SPENCER,1,1
1230,1,34846,34847,1620.953100,0.000000,179.787442,55.999884,0.009658,2,3,181404,SPENCER,1,1
1231,1,34834,34835,2861.678410,0.000000,313.534404,55.998882,0.142384,2,3,181404,SPENCER,1,1
1232,1,34835,34804,2861.678410,0.000000,313.534404,55.998879,0.142227,2,3,181404,SPENCER,1,1
1256,1,29519,31191,1545.758532,0.000000,46.924032,29.999019,0.159562,1,81,181252,WARRICK,1,1
1257,1,31191,30576,1545.758532,0.000000,46.924032,29.999022,0.153960,1,81,181252,WARRICK,1,1
1258,1,30967,30965,428.867228,0.000000,40.458199,29.999990,0.107609,1,81,181255,WARRICK,1,1
1259,1,30965,30966,428.867228,0.000000,40.458199,29.999989,0.104378,1,81,181255,WARRICK,1,1
1279,1,40336,40349,8938.270756,0.000000,7891.466687,43.108544,0.161562,2,82,180583,MONROE,1,1
1280,1,40349,39360,8938.270756,0.000000,7891.466687,43.108545,0.168702,2,82,180583,MONROE,1,1
1342,1,36741,36884,993.359032,0.000000,13.098294,29.999857,0.214973,1,81,181453,CRAWFORD,1,1
1343,1,36884,36868,993.359032,0.000000,13.098294,29.999859,0.215382,1,81,181453,CRAWFORD,1,1
1344,1,28470,33542,1624.688358,0.000000,852.527651,29.976701,0.229293,1,81,180401,DAVIESS,1,1
1345,1,33542,33540,1624.688358,0.000000,852.527651,29.976702,0.231706,1,81,180401,DAVIESS,1,1
1372,1,34619,34966,6316.958763,0.000000,1885.860964,71.908852,0.671240,2,1,181413,DUBOIS,1,1
1373,1,34966,34950,6316.958763,0.000000,1885.860964,71.908839,0.662872,2,1,181413,DUBOIS,1,1
1374,1,34948,34979,1794.320037,0.000000,94.091416,29.997845,0.153486,1,81,181415,SPENCER,1,1
1375,1,34979,34977,1794.320037,0.000000,94.091416,29.997844,0.151779,1,81,181416,DUBOIS,1,1
1376,1,34975,34976,1868.348094,0.000000,124.714892,29.997146,0.182140,1,81,181416,DUBOIS,1,1
1377,1,34976,34940,1868.348094,0.000000,124.714892,29.997146,0.185580,1,81,181416,DUBOIS,1,1
1400,1,39361,39853,9731.074581,0.000000,7905.927076,67.795841,0.088888,2,1,180562,GREENE,1,1
1401,1,39853,39838,9731.074581,0.000000,7905.927076,67.795844,0.087790,2,1,180562,GREENE,1,1
1402,1,39461,39487,274.237437,0.000000,109.752198,29.999989,0.082908,1,81,180531,GREENE,1,1
1403,1,39487,39480,274.237437,0.000000,109.752198,29.999989,0.083299,1,81,180531,GREENE,1,1
1601,1,34028,35591,7215.965631,0.000000,1970.745449,71.865745,0.389056,2,1,181445,PERRY,1,1
1602,1,35591,35631,7215.965631,0.000000,1970.745449,71.865745,0.391149,2,1,181445,PERRY,1,1
1603,1,34068,35492,284.670932,0.000000,3.426379,30.000000,0.176029,1,81,181411,PERRY,1,1
