Ltype,Speed,pollutantID_1,pollutantID_2,pollutantID_3,pollutantID_5,pollutantID_6,pollutantID_20,pollutantID_24,pollutantID_25,pollutantID_26,pollutantID_27,pollutantID_63,pollutantID_65,pollutantID_68,pollutantID_69,pollutantID_70,pollutantID_71,pollutantID_72,pollutantID_73,pollutantID_74,pollutantID_75,pollutantID_76,pollutantID_77,pollutantID_78,pollutantID_79,pollutantID_81,pollutantID_82,pollutantID_83,pollutantID_84,pollutantID_87,pollutantID_90,pollutantID_91,pollutantID_92,pollutantID_98,pollutantID_100,pollutantID_106,pollutantID_107,pollutantID_110,pollutantID_111,pollutantID_112,pollutantID_115,pollutantID_116,pollutantID_117,pollutantID_118,pollutantID_119,pollutantID_168,pollutantID_169,pollutantID_170,pollutantID_171,pollutantID_172,pollutantID_173,pollutantID_174,pollutantID_175,pollutantID_176,pollutantID_177,pollutantID_178,pollutantID_181,pollutantID_182,pollutantID_183,pollutantID_184
fwyr,3,0.131132465,2.348725524,1.163909227,0.016656928,0.0105455,0.001747743,0.000699361,0.012228661,0.005661405,0.000899872,1.15E-06,5.94E-09,5.06E-07,6.06E-05,2.48E-11,4.87E-08,1.58E-05,3.17E-05,1.29E-05,4.07E-06,3.71E-06,1.04E-06,2.01E-05,0.123762952,2.71E-05,2.07E-06,6.31E-05,8.74E-05,0.111280052,955.2905121,13140.71252,0.011543262,959.2615585,0.071573099,0.245040506,0.0115009,0.065759859,0.033458464,0.017013228,0.002611726,0.030630088,0.001725125,0.048746591,0,0,4.50E-05,3.73E-05,7.28E-05,2.95E-05,5.34E-06,2.61E-08,3.56E-07,9.44E-08,3.56E-07,2.43E-06,6.32E-05,0,0.000106741,5.37E-05
fwyr,4,0.131132465,2.348725524,1.163909227,0.016656928,0.0105455,0.001747743,0.000699361,0.012228661,0.005661405,0.000899872,1.15E-06,5.94E-09,5.06E-07,6.06E-05,2.48E-11,4.87E-08,1.58E-05,3.17E-05,1.29E-05,4.07E-06,3.71E-06,1.04E-06,2.01E-05,0.123762952,2.71E-05,2.07E-06,6.31E-05,8.74E-05,0.111280052,955.2905121,13140.71252,0.011543262,959.2615585,0.071573099,0.245040506,0.0115009,0.065759859,0.033458464,0.017013228,0.002611726,0.030630088,0.001725125,0.048746591,0,0,4.50E-05,3.73E-05,7.28E-05,2.95E-05,5.34E-06,2.61E-08,3.56E-07,9.44E-08,3.56E-07,2.43E-06,6.32E-05,0,0.000106741,5.37E-05
fwyr,5,0.131132465,2.348725524,1.163909227,0.016656928,0.0105455,0.001747743,0.000699361,0.012228661,0.005661405,0.000899872,1.15E-06,5.94E-09,5.06E-07,6.06E-05,2.48E-11,4.87E-08,1.58E-05,3.17E-05,1.29E-05,4.07E-06,3.71E-06,1.04E-06,2.01E-05,0.123762952,2.71E-05,2.07E-06,6.31E-05,8.74E-05,0.111280052,955.2905121,13140.71252,0.011543262,959.2615585,0.071573099,0.245040506,0.0115009,0.065759859,0.033458464,0.017013228,0.002611726,0.030630088,0.001725125,0.048746591,0,0,4.50E-05,3.73E-05,7.28E-05,2.95E-05,5.34E-06,2.61E-08,3.56E-07,9.44E-08,3.56E-07,2.43E-06,6.32E-05,0,0.000106741,5.37E-05
fwyr,6,0.131132465,2.348725524,1.163909227,0.016656928,0.0105455,0.001747743,0.000699361,0.012228661,0.005661405,0.000899872,1.15E-06,5.94E-09,5.06E-07,6.06E-05,2.48E-11,4.87E-08,1.58E-05,3.17E-05,1.29E-05,4.07E-06,3.71E-06,1.04E-06,2.01E-05,0.123762952,2.71E-05,2.07E-06,6.31E-05,8.74E-05,0.111280052,955.2905121,13140.71252,0.011543262,959.2615585,0.071573099,0.245040506,0.0115009,0.065759859,0.033458464,0.017013228,0.002611726,0.030630088,0.001725125,0.048746591,0,0,4.50E-05,3.73E-05,7.28E-05,2.95E-05,5.34E-06,2.61E-08,3.56E-07,9.44E-08,3.56E-07,2.43E-06,6.32E-05,0,0.000106741,5.37E-05
fwyr,7,0.131132465,2.348725524,1.163909227,0.016656928,0.0105455,0.001747743,0.000699361,0.012228661,0.005661405,0.000899872,1.15E-06,5.94E-09,5.06E-07,6.06E-05,2.48E-11,4.87E-08,1.58E-05,3.17E-05,1.29E-05,4.07E-06,3.71E-06,1.04E-06,2.01E-05,0.123762952,2.71E-05,2.07E-06,6.31E-05,8.74E-05,0.111280052,955.2905121,13140.71252,0.011543262,959.2615585,0.071573099,0.245040506,0.0115009,0.065759859,0.033458464,0.017013228,0.002611726,0.030630088,0.001725125,0.048746591,0,0,4.50E-05,3.73E-05,7.28E-05,2.95E-05,5.34E-06,2.61E-08,3.56E-07,9.44E-08,3.56E-07,2.43E-06,6.32E-05,0,0.000106741,5.37E-05
fwyr,8,0.073137398,1.476657509,0.715037483,0.009475687,0.00527275,0.001016011,0.000390565,0.006597307,0.00307263,0.000483202,1.15E-06,5.94E-09,2.54E-07,2.98E-05,1.47E-11,3.21E-08,7.79E-06,1.56E-05,6.54E-06,2.10E-06,2.36E-06,6.09E-07,9.96E-06,0.068947562,1.33E-05,1.22E-06,3.12E-05,4.30E-05,0.061742138,580.7540588,7986.924032,0.007005593,582.7970924,0.041756411,0.141683996,0.0106738,0.038358213,0.016721161,0.013775293,0.00152032,0.017710499,0.00160106,0.024582941,0,0,2.43E-05,2.01E-05,3.98E-05,1.59E-05,2.88E-06,1.56E-08,2.12E-07,5.03E-08,2.12E-07,1.33E-06,3.41E-05,0,5.81E-05,2.90E-05
fwyr,9,0.073137398,1.476657509,0.715037483,0.009475687,0.00527275,0.001016011,0.000390565,0.006597307,0.00307263,0.000483202,1.15E-06,5.94E-09,2.54E-07,2.98E-05,1.47E-11,3.21E-08,7.79E-06,1.56E-05,6.54E-06,2.10E-06,2.36E-06,6.09E-07,9.96E-06,0.068947562,1.33E-05,1.22E-06,3.12E-05,4.30E-05,0.061742138,580.7540588,7986.924032,0.007005593,582.7970924,0.041756411,0.141683996,0.0106738,0.038358213,0.016721161,0.013775293,0.00152032,0.017710499,0.00160106,0.024582941,0,0,2.43E-05,2.01E-05,3.98E-05,1.59E-05,2.88E-06,1.56E-08,2.12E-07,5.03E-08,2.12E-07,1.33E-06,3.41E-05,0,5.81E-05,2.90E-05
fwyr,10,0.073137398,1.476657509,0.715037483,0.009475687,0.00527275,0.001016011,0.000390565,0.006597307,0.00307263,0.000483202,1.15E-06,5.94E-09,2.54E-07,2.98E-05,1.47E-11,3.21E-08,7.79E-06,1.56E-05,6.54E-06,2.10E-06,2.36E-06,6.09E-07,9.96E-06,0.068947562,1.33E-05,1.22E-06,3.12E-05,4.30E-05,0.061742138,580.7540588,7986.924032,0.007005593,582.7970924,0.041756411,0.141683996,0.0106738,0.038358213,0.016721161,0.013775293,0.00152032,0.017710499,0.00160106,0.024582941,0,0,2.43E-05,2.01E-05,3.98E-05,1.59E-05,2.88E-06,1.56E-08,2.12E-07,5.03E-08,2.12E-07,1.33E-06,3.41E-05,0,5.81E-05,2.90E-05
fwyr,11,0.073137398,1.476657509,0.715037483,0.009475687,0.00527275,0.001016011,0.000390565,0.006597307,0.00307263,0.000483202,1.15E-06,5.94E-09,2.54E-07,2.98E-05,1.47E-11,3.21E-08,7.79E-06,1.56E-05,6.54E-06,2.10E-06,2.36E-06,6.09E-07,9.96E-06,0.068947562,1.33E-05,1.22E-06,3.12E-05,4.30E-05,0.061742138,580.7540588,7986.924032,0.007005593,582.7970924,0.041756411,0.141683996,0.0106738,0.038358213,0.016721161,0.013775293,0.00152032,0.017710499,0.00160106,0.024582941,0,0,2.43E-05,2.01E-05,3.98E-05,1.59E-05,2.88E-06,1.56E-08,2.12E-07,5.03E-08,2.12E-07,1.33E-06,3.41E-05,0,5.81E-05,2.90E-05
fwyr,12,0.073137398,1.476657509,0.715037483,0.009475687,0.00527275,0.001016011,0.000390565,0.006597307,0.00307263,0.000483202,1.15E-06,5.94E-09,2.54E-07,2.98E-05,1.47E-11,3.21E-08,7.79E-06,1.56E-05,6.54E-06,2.10E-06,2.36E-06,6.09E-07,9.96E-06,0.068947562,1.33E-05,1.22E-06,3.12E-05,4.30E-05,0.061742138,580.7540588,7986.924032,0.007005593,582.7970924,0.041756411,0.141683996,0.0106738,0.038358213,0.016721161,0.013775293,0.00152032,0.017710499,0.00160106,0.024582941,0,0,2.43E-05,2.01E-05,3.98E-05,1.59E-05,2.88E-06,1.56E-08,2.12E-07,5.03E-08,2.12E-07,1.33E-06,3.41E-05,0,5.81E-05,2.90E-05
