TAZ,households
470043,1264
470044,1224
470045,752
470046,1100
470047,1105
470048,875
470049,1029
470050,1100
470051,1265
470052,1174
470053,773
470054,1696
470055,863
470056,1725
470057,1117
470058,1069
470059,652
470060,656
470061,1742
470062,958
470063,979
470064,850
470065,615
470066,1014
470067,603
470068,1215
470069,1498
470070,1088
470071,618
470072,2006
470073,835
470074,791
470075,541
470076,381
470077,648
470078,508
470079,468
470080,995
470081,561
470082,348
470083,745
470084,1142
470085,1034
470086,895
470087,1093
470088,826
470089,847
470090,641
470091,1283
470092,1501
470093,1754
470094,1356
470095,1188
470096,1249
470097,1140
470098,1109
470099,1527
470100,52
470101,986
470102,1506
470103,1922
470104,953
470105,1441
470106,1618
470107,1677
470108,1949
470109,1075
470110,792
470111,2119
470112,1455
470113,745
470114,1362
470115,911
470116,806
470117,562
470118,1513
470119,1459
470120,1149
470121,483
470122,1076
470123,466
470124,663
470125,1137
470126,2661
470127,91
470128,1047
470129,631
470130,301
470131,741
470132,2114
470133,1716
470134,2245
470135,942
470136,903
470137,1823
470138,1388
470139,1067
470140,1361
470141,1399
470142,2376
470143,1779
470144,1201
470145,1883
470146,2529
470147,1899
470148,2162
470149,1272
470150,1247
470151,1236
470152,770
470153,1114
470154,1388
470155,910
470156,805
470157,1293
470158,2491
470159,1966
470160,706
470161,1132
470162,1872
470163,1327
470164,1015
470165,374
470166,2865
470167,1667
470168,1705
470169,1456
470170,1162
470171,1424
470172,1543
470173,1783
470174,1921
470175,1721
470176,1658
470177,1605
470178,1201
470179,1110
470180,1142
470181,1605
470182,799
470183,1970
470184,1479
470185,529
470186,972
470187,1546
470188,816
470189,549
470190,1134
470191,1711
470192,1782
470193,1802
470194,2062
470195,813
470196,1006
470197,1316
470198,320
470199,732
470200,1842
470201,748
470202,1131
470203,798
470204,702
470205,856
470206,0
470207,1573
470208,1516
470209,1003
470210,645
470211,826
470212,821
470213,1185
470214,1252
470215,846
470216,1030
470217,662
470218,887
470219,1534
470220,897
470221,683
470222,1475
470223,1582
470224,1071
470225,1393
470226,1435
470227,667
470228,843
470229,1001
470230,752
470231,716
470232,358
470233,1456
470234,860
470235,393
470236,1362
470237,1369
470238,1568
470239,1502
470240,1536
470241,1016
470242,380
470243,1069
470244,1667
470245,1031
470246,1290
470247,492
470248,190
470249,1391
470250,1145
470251,1283
470252,1217
470253,1425
470254,1036
470255,1293
470256,1283
470257,1760
470258,951
470259,1314
470260,524
470261,614
470262,1154
470263,980
470264,1336
470265,1179
470266,871
470267,1193
470268,1113
470269,782
470270,416
470271,885
470272,1115
470273,684
470274,1081
470275,1070
470276,1458
470277,1713
470278,1306
470279,964
470280,1356
470281,979
470282,1000
470283,1076
470284,1315
470285,1469
470286,1109
470287,626
470288,1365
470289,1266
470290,353
470291,818
470292,385
470293,457
470294,915
470295,918
470296,1132
470297,664
470298,997
470299,887
470300,641
470301,617
470302,632
470303,516
470304,1823
470305,1332
470306,1538
470307,766
470308,1005
470309,1371
470310,499
470311,1560
470312,1057
470313,1837
470314,43
470315,1365
470316,1334
470317,696
470318,353
470319,1266
470320,1442
470321,1214
470322,799
470323,1720
470324,1801
470325,1003
470326,1575
470327,1784
470328,477
470329,1586
470330,1633
470331,275
470332,1480
470333,1138
470334,1710
470335,294
470336,1609
470337,533
470338,641
470339,1583
470340,653
470341,577
470342,1348
470343,1038
470344,1035
470345,1170
470346,1200
470347,880
470348,1651
470349,1322
470350,1465
470351,1408
470352,302
470353,811
470354,949
470355,970
470356,1082
470357,489
470358,0
470359,282
470360,1231
470361,1265
470362,1290
470363,1685
470364,949
470365,715
470366,785
470367,1527
470368,1136
470369,1320
470370,386
470371,837
470372,700
470373,877
470374,1060
470375,1311
470376,1010
470377,1398
990000,588070
990002,591542
990003,216584
990004,42926
990005,4002983
990007,1261322
990008,50055
990009,394136
990010,585867
990011,910599
990012,824664
990014,1266118
990015,768980
990016,56459
990017,584276
990018,496861
990019,378812
990020,41310
990022,1997889
990023,140835
990024,119000
990025,348170
990027,2513629
990028,233601
990029,488940
990031,79242
990032,1192206
990033,85878
990034,205556
990035,21582
990036,31078
990037,7667
990038,21252
990039,37021
990040,531351
990041,155357
990044,397368
990045,104075
990046,60672
990047,1601077
990048,52767
990049,803706
990050,458164
990051,24636
990053,46842
990054,89297
990055,66489
990056,14511
990057,1707
990058,8222
990059,2227613
990060,4494
990061,516198
990062,676947
990063,120112
990064,37906
990065,3608464
990066,27891
990067,7754
990068,171657
990069,2286367
990070,429411
990071,1198438
990072,183841
990073,2012362
990074,24544
990075,403128
990076,10198
990077,800967
990078,2008874
990080,33101
990082,3648868
990083,3105636
990084,331790
990085,13955
990086,87540
990087,6721
990088,2460
