TAZ,households
180624,171
180625,127
180626,439
180627,225
180628,174
180629,331
180630,145
180631,62
180632,486
180633,91
180634,72
180635,224
180636,766
180637,365
180638,577
180639,119
180640,347
180641,505
180642,34
180643,312
180644,229
180645,29
180646,45
180647,208
180648,100
180649,52
180650,143
180651,540
180652,467
180653,50
180654,214
180655,249
180656,200
180657,259
180658,153
180659,171
180660,64
180661,44
180662,11
180663,81
180664,167
180665,168
180666,218
180667,59
180668,64
180669,197
180670,566
180671,99
180672,23
180673,130
180674,284
180675,327
180676,28
180677,254
180678,137
180679,248
180680,124
180681,177
180682,192
180683,107
180684,62
180685,272
180686,100
180687,30
180688,123
180689,91
180690,65
180691,4
180692,25
180693,1
180694,125
180695,216
180696,144
180697,213
180698,44
180699,22
180700,19
180701,2
180702,109
180703,9
180704,466
180705,108
180706,290
180707,150
180708,47
180709,27
180710,713
180711,688
180712,14
180713,217
180714,226
180715,151
180716,355
180717,70
180718,326
180719,236
180720,224
180721,329
180722,67
180723,184
180724,496
180725,399
180726,157
180727,473
180728,143
180729,135
180730,191
180731,206
180732,624
180733,25
180734,61
180735,1005
180736,70
180737,205
180738,182
180739,268
180740,394
180741,537
180742,477
180743,391
180744,14
180745,353
180746,853
180747,84
180748,346
180749,491
180750,730
180751,143
180752,180
180753,104
180754,134
180755,217
180756,182
180757,83
180758,94
180759,276
180760,79
180761,304
180762,93
180763,123
180764,62
180765,235
180766,7
180767,622
180768,1
180769,64
180770,62
180771,429
180772,90
180773,279
180774,1216
180775,769
180776,1856
180777,364
180778,631
180779,305
180780,233
180781,386
180782,230
180783,61
180784,817
180785,326
180786,488
180787,1920
180788,1544
180789,241
180790,896
180791,19
180792,324
180793,73
180794,495
180795,511
180796,382
180797,2786
180798,951
180799,287
180800,542
180801,39
180802,28
180803,42
180804,1145
180805,771
180806,106
180807,407
180808,247
180809,351
180810,147
180811,177
180812,266
180813,70
180814,308
180815,49
180816,3531
180817,4720
180818,30
180819,2957
180820,1217
180821,740
180822,824
180823,739
180824,1394
180825,139
180826,1386
180827,917
180828,440
180829,89
180830,1029
180831,912
180832,415
180833,277
180834,31
180835,929
180836,287
180837,143
180838,57
180839,67
180840,0
180841,181
180842,149
180843,450
180844,348
180845,496
180846,177
180847,191
180848,1071
180853,2286
180854,2113
180856,1196
180870,166
180871,636
180872,17
180873,47
180874,290
180875,110
180876,64
180877,1387
180878,1679
180879,1078
180880,2109
180881,158
180882,406
180883,78
180884,149
180885,1084
180886,103
180887,780
180888,55
180889,164
180890,49
180891,0
180892,0
180893,421
180894,404
180895,475
180896,74
180897,57
180898,399
180899,546
180900,287
180901,84
180902,59
180903,360
180904,188
180905,56
180906,98
180907,149
180908,149
180909,150
180910,419
180911,68
180912,18
180913,131
180914,94
180915,120
180916,170
180917,173
180918,46
180919,107
180920,16
180921,424
180922,158
180923,1040
180924,173
180925,128
180926,722
180927,582
180928,284
180929,908
180930,1157
180931,38
180932,1003
